date,value
2000-01-01,49.910271670384
2000-02-01,49.937785920503
2000-03-01,49.945001313571
2000-04-01,50.070955638478
2000-05-01,50.304720220416
2000-06-01,49.74946568494
2000-07-01,50.618364653359
2000-08-01,50.926732537531
2000-09-01,50.915840844443
2000-10-01,51.132191788056
2000-11-01,51.438350329894
2000-12-01,51.679717558815
2001-01-01,51.388527780418
2001-02-01,51.802452153713
2001-03-01,52.133982273351
2001-04-01,51.967660545559
2001-05-01,52.261528642716
2001-06-01,52.60046606348
2001-07-01,52.047395421462
2001-08-01,52.279461708575
2001-09-01,52.134098847087
2001-10-01,52.396756132015
2001-11-01,52.653296938771
2001-12-01,52.388158564359
2002-01-01,53.114593178987
2002-02-01,52.787448060011
2002-03-01,52.854612193388
2002-04-01,53.485075184939
2002-05-01,53.103827948201
2002-06-01,53.459169623486
2002-07-01,53.647840982262
2002-08-01,53.880277105694
2002-09-01,54.263417806816
2002-10-01,54.491959966805
2002-11-01,54.730215161926
2002-12-01,54.920653136127
2003-01-01,55.371747433134
2003-02-01,55.634018404945
2003-03-01,55.469618644606
2003-04-01,55.898216304474
2003-05-01,56.031166078213
2003-06-01,56.308438177194
2003-07-01,56.436059360119
2003-08-01,56.310587215534
2003-09-01,56.600239258424
2003-10-01,56.739064954579
2003-11-01,56.706472148968
2003-12-01,56.82026387299
2004-01-01,57.509227432743
2004-02-01,57.857237839311
2004-03-01,58.485585128744
2004-04-01,58.832338081138
2004-05-01,59.082033120446
2004-06-01,59.279836908047
2004-07-01,60.413870755421
2004-08-01,60.578643341851
2004-09-01,60.840942353843
2004-10-01,61.49564324332
2004-11-01,61.595495190934
2004-12-01,61.69213158305
2005-01-01,61.57539753848
2005-02-01,61.419556660628
2005-03-01,61.997367689587
2005-04-01,62.678532836214
2005-05-01,62.375497917885
2005-06-01,63.010573222948
2005-07-01,63.421258764823
2005-08-01,64.848346457873
2005-09-01,64.367448352962
2005-10-01,64.125159641948
2005-11-01,65.142730881349
2005-12-01,65.68529867293
2006-01-01,65.171645000684
2006-02-01,65.910944427751
2006-03-01,65.633700129825
2006-04-01,66.34067433236
2006-05-01,67.155319009442
2006-06-01,67.303719424664
2006-07-01,67.34893735933
2006-08-01,67.711591114741
2006-09-01,68.472773122305
2006-10-01,69.20091869317
2006-11-01,69.089817895324
2006-12-01,69.587657508342
2007-01-01,69.3859158567
2007-02-01,69.562058736719
2007-03-01,71.063379271582
2007-04-01,70.692109571938
2007-05-01,70.745379170544
2007-06-01,70.70905264119
2007-07-01,69.89598822148
2007-08-01,70.915484611355
2007-09-01,71.918312787966
2007-10-01,71.578652152423
2007-11-01,72.146006520211
2007-12-01,73.003894261636
2008-01-01,73.200297394573
2008-02-01,74.069691210579
2008-03-01,74.025654563202
2008-04-01,73.676870476726
2008-05-01,73.639641446345
2008-06-01,74.19759551006
2008-07-01,74.369029567883
2008-08-01,72.116908144093
2008-09-01,73.223065845959
2008-10-01,73.326270956902
2008-11-01,71.846763008777
2008-12-01,72.771609208765
2009-01-01,72.363779744294
2009-02-01,72.248913894071
2009-03-01,72.271943695426
2009-04-01,72.010132251855
2009-05-01,71.780541922459
2009-06-01,71.83091674392
2009-07-01,72.199380410524
2009-08-01,72.685116396316
2009-09-01,73.316775104857
2009-10-01,73.399263686325
2009-11-01,73.450849240735
2009-12-01,74.035088113222
2010-01-01,74.307007607437
2010-02-01,75.10429693243
2010-03-01,72.188457248339
2010-04-01,76.391108441945
2010-05-01,75.986478143961
2010-06-01,76.741980008113
2010-07-01,77.927980646128
2010-08-01,78.126134072017
2010-09-01,78.443763433796
2010-10-01,78.515651269005
2010-11-01,79.61408163028
2010-12-01,79.158354269829
2011-01-01,79.74353048467
2011-02-01,79.717404598047
2011-03-01,80.593114091063
2011-04-01,81.197320402958
2011-05-01,81.161543434623
2011-06-01,81.144291996766
2011-07-01,81.27681239486
2011-08-01,81.789015190459
2011-09-01,81.99913037358
2011-10-01,82.738275796111
2011-11-01,83.015471102695
2011-12-01,84.641026909531
2012-01-01,84.492596751614
2012-02-01,85.153910500862
2012-03-01,85.894665347296
2012-04-01,86.587895323441
2012-05-01,86.649712718815
2012-06-01,87.040104517945
2012-07-01,87.493824654803
2012-08-01,87.634448504385
2012-09-01,87.172147156364
2012-10-01,87.548629399602
2012-11-01,88.087258853629
2012-12-01,88.221642667223
2013-01-01,88.804031625378
2013-02-01,88.244780732621
2013-03-01,88.985511235856
2013-04-01,88.916625089257
2013-05-01,89.15112732794
2013-06-01,89.851487309835
2013-07-01,90.01980934886
2013-08-01,90.140591682699
2013-09-01,89.814060026581
2013-10-01,90.518845696148
2013-11-01,90.626889917155
2013-12-01,89.907656005371
2014-01-01,89.927737505301
2014-02-01,90.780090536117
2014-03-01,90.876189712278
2014-04-01,91.277153800002
2014-05-01,91.403728127069
2014-06-01,90.771620549742
2014-07-01,90.509929004447
2014-08-01,90.998920991155
2014-09-01,90.960479842204
2014-10-01,92.132384525396
2014-11-01,91.536674572044
2014-12-01,92.285215140253
2015-01-01,92.732077642148
2015-02-01,92.435113495864
2015-03-01,92.138497279717
2015-04-01,93.355996738992
2015-05-01,92.993891816528
2015-06-01,93.330968639818
2015-07-01,93.011461107668
2015-08-01,92.169073680773
2015-09-01,93.641464011276
2015-10-01,93.886085905658
2015-11-01,93.491957573768
2015-12-01,93.859189063123
2016-01-01,94.58374838552
2016-02-01,94.864649225603
2016-03-01,94.545500232032
2016-04-01,93.961245201013
2016-05-01,94.064085411364
2016-06-01,94.426406936036
2016-07-01,94.604998043555
