date,value
2024-02-01,7.25
2024-03-01,7.25
2024-04-01,6.57
2024-05-01,6.36
2024-06-01,5.91
2024-07-01,5.75
2024-08-01,5.75
2024-09-01,5.53
2024-10-01,5.4
2024-11-01,5.25
2024-12-01,5.15
